x_center_lon,y_center_lat,x_min_lon,y_min_lat,x_max_lon,y_max_lat,scale,saliency
-71.39166666666667, -29.475, -71.43333333333334, -29.516666666666666, -71.35, -29.433333333333334, 5, 3760
-71.225, -28.208333333333336, -71.26666666666667, -28.25, -71.18333333333334, -28.166666666666668, 5, 3754
-70.725, -26.241666666666667, -70.76666666666667, -26.28333333333333, -70.68333333333334, -26.2, 5, 3752
-71.375, -29.625, -71.41666666666667, -29.666666666666668, -71.33333333333333, -29.583333333333332, 5, 3739
-71.44166666666666, -30.108333333333334, -71.48333333333333, -30.15, -71.4, -30.066666666666666, 5, 3734
-71.24166666666667, -28.291666666666664, -71.28333333333333, -28.333333333333332, -71.2, -28.25, 5, 3729
-67.84166666666667, -24.791666666666664, -67.88333333333334, -24.833333333333332, -67.8, -24.75, 5, 3729
-70.54166666666666, -25.141666666666666, -70.58333333333333, -25.183333333333334, -70.5, -25.1, 5, 3721
-70.60833333333333, -24.325000000000003, -70.65, -24.366666666666667, -70.56666666666666, -24.283333333333335, 5, 3707
-71.20833333333334, -28.025, -71.25, -28.066666666666666, -71.16666666666667, -27.983333333333334, 5, 3677
-70.80833333333334, -27.491666666666667, -70.85, -27.53333333333333, -70.76666666666667, -27.45, 5, 3674
-71.14166666666667, -27.775, -71.18333333333334, -27.816666666666666, -71.1, -27.733333333333334, 5, 3658
-71.17500000000001, -27.858333333333334, -71.21666666666667, -27.9, -71.13333333333334, -27.816666666666666, 5, 3651
-70.89166666666667, -27.191666666666666, -70.93333333333334, -27.233333333333334, -70.85, -27.15, 5, 3651
-67.525, -26.691666666666666, -67.56666666666666, -26.733333333333334, -67.48333333333333, -26.65, 5, 3648
-71.07499999999999, -27.441666666666666, -71.11666666666666, -27.483333333333334, -71.03333333333333, -27.4, 5, 3630
-70.60833333333333, -24.40833333333333, -70.65, -24.45, -70.56666666666666, -24.366666666666667, 5, 3628
-71.32499999999999, -28.491666666666667, -71.36666666666666, -28.53333333333333, -71.28333333333333, -28.45, 5, 3611
-70.59166666666667, -25.325, -70.63333333333334, -25.366666666666667, -70.55, -25.28333333333333, 5, 3602
-70.59166666666667, -24.891666666666666, -70.63333333333334, -24.933333333333334, -70.55, -24.85, 5, 3593
-71.24166666666667, -28.125, -71.28333333333333, -28.166666666666668, -71.2, -28.083333333333332, 5, 3590
-71.20833333333334, -27.941666666666666, -71.25, -27.983333333333334, -71.16666666666667, -27.9, 5, 3584
-70.625, -24.608333333333334, -70.66666666666667, -24.65, -70.58333333333333, -24.566666666666666, 5, 3582
-67.67500000000001, -24.875, -67.71666666666667, -24.916666666666668, -67.63333333333334, -24.833333333333332, 5, 3582
-71.39166666666667, -29.791666666666664, -71.43333333333334, -29.833333333333332, -71.35, -29.75, 5, 3575
-71.725, -30.991666666666667, -71.76666666666667, -31.03333333333333, -71.68333333333334, -30.95, 5, 3572
-70.60833333333333, -24.808333333333334, -70.65, -24.85, -70.56666666666666, -24.766666666666666, 5, 3557
-71.42500000000001, -28.725, -71.46666666666667, -28.766666666666666, -71.38333333333334, -28.683333333333334, 5, 3556
-68.79166666666666, -27.90833333333333, -68.83333333333333, -27.95, -68.75, -27.866666666666667, 5, 3555
-71.39166666666667, -29.708333333333336, -71.43333333333334, -29.75, -71.35, -29.666666666666668, 5, 3543
-66.35833333333333, -27.475, -66.4, -27.516666666666666, -66.31666666666666, -27.433333333333334, 5, 3541
-71.725, -31.075, -71.76666666666667, -31.116666666666667, -71.68333333333334, -31.03333333333333, 5, 3534
-70.75833333333333, -27.041666666666664, -70.8, -27.083333333333332, -70.71666666666667, -27.0, 5, 3522
-71.475, -29.325, -71.51666666666667, -29.366666666666667, -71.43333333333334, -29.28333333333333, 5, 3517
-70.59166666666667, -25.241666666666667, -70.63333333333334, -25.28333333333333, -70.55, -25.2, 5, 3517
-70.625, -24.491666666666667, -70.66666666666667, -24.533333333333335, -70.58333333333333, -24.45, 5, 3503
-70.49166666666667, -31.225, -70.53333333333333, -31.266666666666666, -70.45, -31.183333333333334, 5, 3491
-66.04166666666666, -27.291666666666664, -66.08333333333333, -27.333333333333332, -66.0, -27.25, 5, 3489
-71.70833333333334, -31.258333333333333, -71.75, -31.3, -71.66666666666667, -31.21666666666667, 5, 3488
-70.75833333333333, -25.924999999999997, -70.8, -25.966666666666665, -70.71666666666667, -25.883333333333333, 5, 3487
-71.025, -27.191666666666666, -71.06666666666666, -27.233333333333334, -70.98333333333333, -27.15, 5, 3481
-71.75833333333333, -30.90833333333333, -71.8, -30.95, -71.71666666666667, -30.866666666666667, 5, 3473
-71.42500000000001, -29.891666666666666, -71.46666666666667, -29.933333333333334, -71.38333333333334, -29.85, 5, 3467
-71.69166666666666, -31.34166666666667, -71.73333333333333, -31.383333333333333, -71.65, -31.3, 5, 3458
-71.775, -30.708333333333336, -71.81666666666666, -30.75, -71.73333333333333, -30.666666666666668, 5, 3454
-71.725, -31.15833333333333, -71.76666666666667, -31.2, -71.68333333333334, -31.116666666666667, 5, 3451
-68.82499999999999, -25.15833333333333, -68.86666666666666, -25.2, -68.78333333333333, -25.116666666666667, 5, 3451
-70.85833333333333, -26.641666666666666, -70.9, -26.683333333333334, -70.81666666666666, -26.6, 5, 3450
-66.44166666666666, -27.491666666666667, -66.48333333333333, -27.53333333333333, -66.4, -27.45, 5, 3450
-70.64166666666667, -24.691666666666666, -70.68333333333334, -24.733333333333334, -70.6, -24.65, 5, 3448
-71.60833333333333, -31.725, -71.65, -31.766666666666666, -71.56666666666666, -31.683333333333334, 5, 3446
-71.40833333333333, -29.108333333333334, -71.45, -29.15, -71.36666666666666, -29.066666666666666, 5, 3445
-67.92500000000001, -24.808333333333334, -67.96666666666667, -24.85, -67.88333333333334, -24.766666666666666, 5, 3435
-71.64166666666667, -31.525, -71.68333333333334, -31.566666666666666, -71.6, -31.483333333333334, 5, 3433
-71.67500000000001, -31.425, -71.71666666666667, -31.46666666666667, -71.63333333333334, -31.383333333333333, 5, 3429
-71.775, -30.791666666666664, -71.81666666666666, -30.833333333333332, -71.73333333333333, -30.75, 5, 3419
-71.54166666666666, -30.191666666666666, -71.58333333333333, -30.233333333333334, -71.5, -30.15, 5, 3407
